Cell_ID	Location_Center_X	Location_Center_Y
0	290.9888888888889	210.04444444444445
1	166.90196078431373	113.06372549019608
2	820.318407960199	318.363184079602
3	972.8625592417062	378.2701421800948
4	720.4404145077721	377.04145077720204
5	456.41726618705036	408.89208633093523
6	370.1095890410959	466.9771689497717
7	497.7121951219512	535.2341463414634
8	492.0381679389313	459.587786259542
9	842.519801980198	598.6039603960396
10	1016.8125	622.2604166666666
11	278.5240963855422	589.5301204819277
12	478.8497409326425	649.8290155440415
13	552.225	733.545
