Metadata_WellRow,Metadata_WellCol,Metadata_gene_name,Metadata_genotype,Metadata_ImageNumber,Metadata_Plate,Metadata_Well,Metadata_Cytoplasm_Parent_Cells,Metadata_Cytoplasm_Parent_OrigNuclei,Metadata_Cells_Number_Object_Number,Metadata_Nuclei_Number_Object_Number,UMAP1,UMAP2
C,6,NF1,WT,1,1,C6,1,4,1,4,11.638459,-2.3592644
C,6,NF1,WT,1,1,C6,2,5,2,5,11.901725,-2.993272
C,6,NF1,WT,1,1,C6,3,7,3,7,11.517516,-2.8765695
C,6,NF1,WT,1,1,C6,4,8,4,8,11.468371,-2.8846443
C,6,NF1,WT,4,1,C6,1,3,1,3,12.816878,-1.6960458
C,6,NF1,WT,4,1,C6,2,4,2,4,11.7703285,-3.3023355
C,6,NF1,WT,3,1,C6,1,2,1,2,12.369565,-2.6250854
C,6,NF1,WT,3,1,C6,2,4,2,4,11.838741,-3.2509906
C,6,NF1,WT,3,1,C6,3,6,3,6,12.006931,-2.7025945
C,6,NF1,WT,2,1,C6,1,2,1,2,13.073882,-1.070913
C,6,NF1,WT,2,1,C6,2,3,2,3,12.38593,-2.2415757
C,6,NF1,WT,2,1,C6,3,4,3,4,11.846384,-2.904408
C,7,NF1,Null,7,1,C7,1,3,1,3,12.495227,-2.856104
C,7,NF1,Null,7,1,C7,2,5,2,5,12.877378,-1.6933262
C,7,NF1,Null,6,1,C7,1,2,1,2,13.264345,-2.2376187
C,7,NF1,Null,6,1,C7,2,4,2,4,13.047712,-1.9089742
C,7,NF1,Null,6,1,C7,3,5,3,5,12.781278,-2.34947
C,7,NF1,Null,6,1,C7,4,6,4,6,13.119624,-3.1340985
C,7,NF1,Null,6,1,C7,5,7,5,7,13.111699,-2.7948675
C,7,NF1,Null,6,1,C7,6,8,6,8,12.926339,-3.440467
C,7,NF1,Null,8,1,C7,1,2,1,2,13.32556,-3.1177974
C,7,NF1,Null,8,1,C7,2,4,2,4,13.516791,-2.8870032
C,7,NF1,Null,8,1,C7,3,5,3,5,13.506187,-3.2008631
C,7,NF1,Null,5,1,C7,1,4,1,4,11.436171,-2.7184596
D,6,NF1,WT,10,1,D6,1,2,1,2,12.282431,-2.4728296
D,6,NF1,WT,10,1,D6,2,3,2,3,12.967101,-3.0315828
D,6,NF1,WT,10,1,D6,3,4,3,4,15.01545,-2.9218345
D,6,NF1,WT,10,1,D6,4,5,4,5,13.0541115,-1.8322506
D,6,NF1,WT,11,1,D6,1,1,1,1,13.050011,-2.4155173
D,7,NF1,Null,16,1,D7,1,2,1,2,13.746257,-2.2238753
D,7,NF1,Null,16,1,D7,2,3,2,3,13.347824,-2.1878402
D,7,NF1,Null,16,1,D7,3,5,3,5,13.660297,-2.6259806
D,7,NF1,Null,13,1,D7,1,3,1,3,12.262088,-3.0115695
D,7,NF1,Null,13,1,D7,2,5,2,5,11.698681,-1.9433497
D,7,NF1,Null,15,1,D7,1,3,1,3,12.695474,-3.372782
D,7,NF1,Null,15,1,D7,2,4,2,4,13.006004,-1.6494617
D,7,NF1,Null,15,1,D7,3,5,3,5,12.732267,-3.6054971
D,7,NF1,Null,15,1,D7,4,7,4,7,12.5126915,-3.5674686
D,7,NF1,Null,15,1,D7,5,8,5,8,12.806966,-3.712364
D,7,NF1,Null,14,1,D7,1,2,1,2,12.207838,-1.944069
D,7,NF1,Null,14,1,D7,2,5,2,5,12.101291,-2.5063097
D,7,NF1,Null,14,1,D7,3,7,3,7,12.619727,-2.1025405
D,7,NF1,Null,14,1,D7,4,8,4,8,11.335369,-2.5478194
E,6,NF1,WT,17,1,E6,1,2,1,2,12.908733,-3.0789754
E,6,NF1,WT,17,1,E6,2,3,2,3,13.056,-0.74721366
E,6,NF1,WT,17,1,E6,3,4,3,4,13.132895,-0.48570713
E,6,NF1,WT,17,1,E6,4,5,4,5,12.897691,-0.6803942
E,6,NF1,WT,18,1,E6,1,2,1,2,15.814425,-1.4575088
E,6,NF1,WT,19,1,E6,1,1,1,1,13.907883,-3.758543
E,6,NF1,WT,19,1,E6,2,2,2,2,14.443061,-3.5056
E,6,NF1,WT,19,1,E6,3,3,3,3,14.307917,-3.5846984
E,6,NF1,WT,19,1,E6,4,4,4,4,14.14486,-3.6832469
E,7,NF1,Null,21,1,E7,1,3,1,3,13.693474,-0.016015919
E,7,NF1,Null,21,1,E7,2,4,2,4,13.984875,1.1379961
E,7,NF1,Null,21,1,E7,3,5,3,5,14.535434,0.6888247
E,7,NF1,Null,21,1,E7,4,6,4,6,13.292417,0.7300531
E,7,NF1,Null,21,1,E7,5,7,5,7,13.554893,0.5489994
E,7,NF1,Null,21,1,E7,6,8,6,8,14.27543,0.9895626
E,7,NF1,Null,21,1,E7,7,10,7,10,13.798261,1.1682904
E,7,NF1,Null,21,1,E7,8,11,8,11,13.235361,-0.6166657
E,7,NF1,Null,21,1,E7,9,13,9,13,13.376397,0.47535694
E,7,NF1,Null,21,1,E7,10,14,10,14,14.085917,0.9279359
E,7,NF1,Null,21,1,E7,11,15,11,15,14.220286,0.16282451
E,7,NF1,Null,22,1,E7,1,2,1,2,14.922962,-2.4997215
E,7,NF1,Null,22,1,E7,2,4,2,4,14.589614,-2.3525908
E,7,NF1,Null,22,1,E7,3,6,3,6,14.154516,-2.2009664
E,7,NF1,Null,22,1,E7,4,7,4,7,13.050905,0.10308791
E,7,NF1,Null,22,1,E7,5,8,5,8,14.44148,-2.2823942
E,7,NF1,Null,22,1,E7,6,9,6,9,14.163984,-1.8113884
E,7,NF1,Null,22,1,E7,7,11,7,11,15.044106,-2.7768106
E,7,NF1,Null,23,1,E7,1,2,1,2,12.396121,-0.070503
E,7,NF1,Null,23,1,E7,2,3,2,3,14.33427,1.2944009
E,7,NF1,Null,23,1,E7,3,4,3,4,13.723186,-1.2324241
E,7,NF1,Null,23,1,E7,4,5,4,5,14.101593,-0.35090074
E,7,NF1,Null,23,1,E7,5,6,5,6,12.486039,-0.38999018
E,7,NF1,Null,23,1,E7,6,7,6,7,14.191752,1.5003964
E,7,NF1,Null,23,1,E7,7,8,7,8,13.785905,-1.0262543
E,7,NF1,Null,23,1,E7,8,9,8,9,13.860513,-0.99155277
E,7,NF1,Null,23,1,E7,9,10,9,10,12.2577505,-0.44222537
E,7,NF1,Null,23,1,E7,10,12,10,12,14.588756,1.4297643
E,7,NF1,Null,23,1,E7,11,13,11,13,14.148638,-0.35003164
E,7,NF1,Null,23,1,E7,12,14,12,14,14.405863,-0.5562159
E,7,NF1,Null,24,1,E7,1,2,1,2,16.141405,-1.4228433
E,7,NF1,Null,24,1,E7,2,5,2,5,16.09883,-1.3955059
E,7,NF1,Null,24,1,E7,3,7,3,7,15.576712,-2.2226174
E,7,NF1,Null,24,1,E7,4,9,4,9,15.570986,-1.8062371
E,7,NF1,Null,24,1,E7,5,10,5,10,14.994771,-0.6099519
E,7,NF1,Null,24,1,E7,6,12,6,12,15.42157,-1.8005346
E,7,NF1,Null,24,1,E7,7,13,7,13,14.768761,-1.7713041
E,7,NF1,Null,24,1,E7,8,14,8,14,15.181647,-1.4695733
E,7,NF1,Null,24,1,E7,9,15,9,15,14.568526,-1.5544597
E,7,NF1,Null,24,1,E7,10,16,10,16,15.186112,-2.351095
E,7,NF1,Null,24,1,E7,11,17,11,17,15.0878725,-0.2862777
E,7,NF1,Null,24,1,E7,12,18,12,18,14.331548,-1.0314628
E,7,NF1,Null,24,1,E7,13,19,13,19,15.298775,-1.7665799
E,7,NF1,Null,24,1,E7,14,21,14,21,15.697512,0.25864232
F,6,NF1,WT,25,1,F6,1,4,1,4,14.610742,0.7138023
F,6,NF1,WT,25,1,F6,2,5,2,5,15.359661,-1.5077014
F,6,NF1,WT,26,1,F6,1,6,1,6,14.488054,-3.3945591
F,6,NF1,WT,27,1,F6,1,4,1,4,13.735396,-3.307791
F,6,NF1,WT,27,1,F6,2,5,2,5,14.249234,-3.5270648
F,6,NF1,WT,28,1,F6,1,4,1,4,14.573639,-2.8317099
F,6,NF1,WT,28,1,F6,2,5,2,5,14.466711,-3.3170898
F,7,NF1,Null,30,1,F7,1,1,1,1,14.723426,0.6493756
F,7,NF1,Null,30,1,F7,2,3,2,3,15.866184,-0.44780686
F,7,NF1,Null,30,1,F7,3,5,3,5,15.091286,0.24696921
F,7,NF1,Null,30,1,F7,4,6,4,6,14.875321,-2.7258425
F,7,NF1,Null,30,1,F7,5,7,5,7,15.601284,-1.3111942
F,7,NF1,Null,30,1,F7,6,8,6,8,15.186012,-1.1386187
F,7,NF1,Null,30,1,F7,7,9,7,9,15.808534,0.07877016
F,7,NF1,Null,30,1,F7,8,10,8,10,13.698221,-0.5286131
F,7,NF1,Null,30,1,F7,9,11,9,11,15.912056,-0.7597465
F,7,NF1,Null,30,1,F7,10,12,10,12,13.22885,0.27498296
F,7,NF1,Null,30,1,F7,11,13,11,13,15.707418,-0.8898593
F,7,NF1,Null,30,1,F7,12,14,12,14,15.005529,0.10142575
F,7,NF1,Null,30,1,F7,13,15,13,15,15.54233,-0.798052
F,7,NF1,Null,30,1,F7,14,16,14,16,15.657049,0.28440064
F,7,NF1,Null,30,1,F7,15,17,15,17,15.700652,-0.2757122
F,7,NF1,Null,30,1,F7,16,18,16,18,15.237831,-0.49050707
F,7,NF1,Null,30,1,F7,17,20,17,20,15.795289,-0.35193476
F,7,NF1,Null,30,1,F7,18,21,18,21,15.471662,-0.6956085
F,7,NF1,Null,30,1,F7,19,23,19,23,14.5541725,1.3815926
F,7,NF1,Null,29,1,F7,1,4,1,4,13.371854,0.06760155
F,7,NF1,Null,29,1,F7,2,5,2,5,13.607478,-0.25496846
F,7,NF1,Null,29,1,F7,3,6,3,6,13.931844,0.0569018
F,7,NF1,Null,29,1,F7,4,8,4,8,13.6644535,0.4694814
F,7,NF1,Null,29,1,F7,5,9,5,9,14.471512,-0.044650316
F,7,NF1,Null,29,1,F7,6,10,6,10,14.160719,0.47814438
F,7,NF1,Null,29,1,F7,7,11,7,11,13.9501,0.73646325
F,7,NF1,Null,29,1,F7,8,12,8,12,15.266825,-1.0117358
F,7,NF1,Null,29,1,F7,9,13,9,13,13.538109,-0.062237527
F,7,NF1,Null,29,1,F7,10,14,10,14,13.265779,0.54808414
F,7,NF1,Null,29,1,F7,11,15,11,15,14.166985,0.34386322
F,7,NF1,Null,31,1,F7,1,9,1,9,12.687124,0.15782562
F,7,NF1,Null,31,1,F7,2,10,2,10,15.620597,-2.0494475
F,7,NF1,Null,31,1,F7,3,12,3,12,14.321427,-0.88405585
F,7,NF1,Null,31,1,F7,4,13,4,13,14.056049,-0.73779136
F,7,NF1,Null,32,1,F7,1,3,1,3,14.530932,-2.359452
F,7,NF1,Null,32,1,F7,2,6,2,6,15.577551,-1.2729775
F,7,NF1,Null,32,1,F7,3,7,3,7,14.995702,-2.2470531
F,7,NF1,Null,32,1,F7,4,8,4,8,12.787971,0.012137866
F,7,NF1,Null,32,1,F7,5,9,5,9,15.628412,-2.0439534
F,7,NF1,Null,32,1,F7,6,10,6,10,15.901849,-1.1108321
F,7,NF1,Null,32,1,F7,7,11,7,11,15.4934,-1.7092365
F,7,NF1,Null,32,1,F7,8,12,8,12,14.656168,1.4045442
F,7,NF1,Null,32,1,F7,9,13,9,13,14.67076,-1.8182025
F,7,NF1,Null,32,1,F7,10,14,10,14,15.191056,-2.3932426
F,7,NF1,Null,32,1,F7,11,16,11,16,14.885182,-1.8328305
F,7,NF1,Null,32,1,F7,12,18,12,18,15.622439,-0.17964034
