feature	u	v	sig_level	power	estimated_sample_size
Cytoplasm_Number_Object_Number	1	240	4.17362270450751e-05	0.8	60.4232262912115
Cytoplasm_AreaShape_Area	1	240	4.17362270450751e-05	0.8	62.5766319292964
Cytoplasm_AreaShape_BoundingBoxArea	1	240	4.17362270450751e-05	0.8	47.6229388717694
Cytoplasm_AreaShape_BoundingBoxMaximum_X	1	240	4.17362270450751e-05	0.8	10033.9050441812
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	1	240	4.17362270450751e-05	0.8	5197.16827572079
Cytoplasm_AreaShape_BoundingBoxMinimum_X	1	240	4.17362270450751e-05	0.8	5519.49507095415
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	1	240	4.17362270450751e-05	0.8	1096.23426369634
Cytoplasm_AreaShape_Center_X	1	240	4.17362270450751e-05	0.8	380113.02746635
Cytoplasm_AreaShape_Center_Y	1	240	4.17362270450751e-05	0.8	10483.423528054
Cytoplasm_AreaShape_Compactness	1	240	4.17362270450751e-05	0.8	966.057318463235
Cytoplasm_AreaShape_ConvexArea	1	240	4.17362270450751e-05	0.8	53.0094672154051
Cytoplasm_AreaShape_Eccentricity	1	240	4.17362270450751e-05	0.8	1160.18387507959
Cytoplasm_AreaShape_EquivalentDiameter	1	240	4.17362270450751e-05	0.8	66.8432760102516
Cytoplasm_AreaShape_EulerNumber	1	240	4.17362270450751e-05	0.8	1106.81131166346
Cytoplasm_AreaShape_Extent	1	240	4.17362270450751e-05	0.8	320.629998727796
Cytoplasm_AreaShape_FormFactor	1	240	4.17362270450751e-05	0.8	840.629095625774
Cytoplasm_AreaShape_MajorAxisLength	1	240	4.17362270450751e-05	0.8	68.7844918682353
Cytoplasm_AreaShape_MaxFeretDiameter	1	240	4.17362270450751e-05	0.8	53.9227778766902
Cytoplasm_AreaShape_MaximumRadius	1	240	4.17362270450751e-05	0.8	100.447007725294
Cytoplasm_AreaShape_MeanRadius	1	240	4.17362270450751e-05	0.8	102.80022057015
Cytoplasm_AreaShape_MedianRadius	1	240	4.17362270450751e-05	0.8	117.793364737571
Cytoplasm_AreaShape_MinFeretDiameter	1	240	4.17362270450751e-05	0.8	133.981433536287
Cytoplasm_AreaShape_MinorAxisLength	1	240	4.17362270450751e-05	0.8	212.285462663666
Cytoplasm_AreaShape_Orientation	1	240	4.17362270450751e-05	0.8	4553.02004407095
Cytoplasm_AreaShape_Perimeter	1	240	4.17362270450751e-05	0.8	88.196037769517
Cytoplasm_AreaShape_Solidity	1	240	4.17362270450751e-05	0.8	1010.8814142474
Cytoplasm_AreaShape_Zernike_0_0	1	240	4.17362270450751e-05	0.8	282.789499815009
Cytoplasm_AreaShape_Zernike_1_1	1	240	4.17362270450751e-05	0.8	771.081969354818
Cytoplasm_AreaShape_Zernike_2_0	1	240	4.17362270450751e-05	0.8	426.630707042759
Cytoplasm_AreaShape_Zernike_2_2	1	240	4.17362270450751e-05	0.8	682.858765337904
Cytoplasm_AreaShape_Zernike_3_1	1	240	4.17362270450751e-05	0.8	1524.81806713214
Cytoplasm_AreaShape_Zernike_3_3	1	240	4.17362270450751e-05	0.8	1097.28318015438
Cytoplasm_AreaShape_Zernike_4_0	1	240	4.17362270450751e-05	0.8	2804.66929624997
Cytoplasm_AreaShape_Zernike_4_2	1	240	4.17362270450751e-05	0.8	2531.0926567274
Cytoplasm_AreaShape_Zernike_4_4	1	240	4.17362270450751e-05	0.8	1280.43492710755
Cytoplasm_AreaShape_Zernike_5_1	1	240	4.17362270450751e-05	0.8	401.17035401274
Cytoplasm_AreaShape_Zernike_5_3	1	240	4.17362270450751e-05	0.8	533.125226023691
Cytoplasm_AreaShape_Zernike_5_5	1	240	4.17362270450751e-05	0.8	800.735721499223
Cytoplasm_AreaShape_Zernike_6_0	1	240	4.17362270450751e-05	0.8	439.304786600929
