feature	u	v	sig_level	power	estimated_sample_size
Cytoplasm_Number_Object_Number	1	1679	4.17362270450751e-05	0.8	171.817770031987
Cytoplasm_AreaShape_Area	1	1679	4.17362270450751e-05	0.8	91.0956828315909
Cytoplasm_AreaShape_BoundingBoxArea	1	1679	4.17362270450751e-05	0.8	126.507633437838
Cytoplasm_AreaShape_BoundingBoxMaximum_X	1	1679	4.17362270450751e-05	0.8	19559.0890799048
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	1	1679	4.17362270450751e-05	0.8	6707.52129569811
Cytoplasm_AreaShape_BoundingBoxMinimum_X	1	1679	4.17362270450751e-05	0.8	5009.09868928829
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	1	1679	4.17362270450751e-05	0.8	3413.19654583929
Cytoplasm_AreaShape_Center_X	1	1679	4.17362270450751e-05	0.8	32799.5392687015
Cytoplasm_AreaShape_Center_Y	1	1679	4.17362270450751e-05	0.8	17233.7714829848
Cytoplasm_AreaShape_Compactness	1	1679	4.17362270450751e-05	0.8	175295.900128226
Cytoplasm_AreaShape_ConvexArea	1	1679	4.17362270450751e-05	0.8	111.219350158904
Cytoplasm_AreaShape_Eccentricity	1	1679	4.17362270450751e-05	0.8	1992.46095753154
Cytoplasm_AreaShape_EquivalentDiameter	1	1679	4.17362270450751e-05	0.8	95.3082642628786
Cytoplasm_AreaShape_EulerNumber	1	1679	4.17362270450751e-05	0.8	129934.755838364
Cytoplasm_AreaShape_Extent	1	1679	4.17362270450751e-05	0.8	803.704137533999
Cytoplasm_AreaShape_FormFactor	1	1679	4.17362270450751e-05	0.8	16302.7486573451
Cytoplasm_AreaShape_MajorAxisLength	1	1679	4.17362270450751e-05	0.8	187.936784373495
Cytoplasm_AreaShape_MaxFeretDiameter	1	1679	4.17362270450751e-05	0.8	168.623998587178
Cytoplasm_AreaShape_MaximumRadius	1	1679	4.17362270450751e-05	0.8	130.458736069352
Cytoplasm_AreaShape_MeanRadius	1	1679	4.17362270450751e-05	0.8	119.631182611209
Cytoplasm_AreaShape_MedianRadius	1	1679	4.17362270450751e-05	0.8	115.47880959946
Cytoplasm_AreaShape_MinFeretDiameter	1	1679	4.17362270450751e-05	0.8	123.585511280971
Cytoplasm_AreaShape_MinorAxisLength	1	1679	4.17362270450751e-05	0.8	120.07004056183
Cytoplasm_AreaShape_Orientation	1	1679	4.17362270450751e-05	0.8	96205.7718531662
Cytoplasm_AreaShape_Perimeter	1	1679	4.17362270450751e-05	0.8	143.415902958622
Cytoplasm_AreaShape_Solidity	1	1679	4.17362270450751e-05	0.8	555.967279189625
Cytoplasm_AreaShape_Zernike_0_0	1	1679	4.17362270450751e-05	0.8	705.090902574974
Cytoplasm_AreaShape_Zernike_1_1	1	1679	4.17362270450751e-05	0.8	18430.6186018088
Cytoplasm_AreaShape_Zernike_2_0	1	1679	4.17362270450751e-05	0.8	544.675041891391
Cytoplasm_AreaShape_Zernike_2_2	1	1679	4.17362270450751e-05	0.8	58841.3412573366
Cytoplasm_AreaShape_Zernike_3_1	1	1679	4.17362270450751e-05	0.8	4956.32254169041
Cytoplasm_AreaShape_Zernike_3_3	1	1679	4.17362270450751e-05	0.8	32850.732870897
Cytoplasm_AreaShape_Zernike_4_0	1	1679	4.17362270450751e-05	0.8	3872.3662947365
Cytoplasm_AreaShape_Zernike_4_2	1	1679	4.17362270450751e-05	0.8	7965.66590815237
Cytoplasm_AreaShape_Zernike_4_4	1	1679	4.17362270450751e-05	0.8	11890.3135771549
Cytoplasm_AreaShape_Zernike_5_1	1	1679	4.17362270450751e-05	0.8	3385.99920941602
Cytoplasm_AreaShape_Zernike_5_3	1	1679	4.17362270450751e-05	0.8	28776.2041836951
Cytoplasm_AreaShape_Zernike_5_5	1	1679	4.17362270450751e-05	0.8	10933.7052869975
Cytoplasm_AreaShape_Zernike_6_0	1	1679	4.17362270450751e-05	0.8	4046.65092798544
Cytoplasm_AreaShape_Zernike_6_2	1	1679	4.17362270450751e-05	0.8	30875.1605715894
Cytoplasm_AreaShape_Zernike_6_4	1	1679	4.17362270450751e-05	0.8	6197.50739444678
Cytoplasm_AreaShape_Zernike_6_6	1	1679	4.17362270450751e-05	0.8	22094.9381110589
Cytoplasm_AreaShape_Zernike_7_1	1	1679	4.17362270450751e-05	0.8	2572.89978664047
Cytoplasm_AreaShape_Zernike_7_3	1	1679	4.17362270450751e-05	0.8	8838.96200000454
Cytoplasm_AreaShape_Zernike_7_5	1	1679	4.17362270450751e-05	0.8	53495.6559783396
Cytoplasm_AreaShape_Zernike_7_7	1	1679	4.17362270450751e-05	0.8	62111.7736743957
Cytoplasm_AreaShape_Zernike_8_0	1	1679	4.17362270450751e-05	0.8	3168.5960931458
Cytoplasm_AreaShape_Zernike_8_2	1	1679	4.17362270450751e-05	0.8	20616.8764244447
Cytoplasm_AreaShape_Zernike_8_4	1	1679	4.17362270450751e-05	0.8	15130.0988587739
Cytoplasm_AreaShape_Zernike_8_6	1	1679	4.17362270450751e-05	0.8	54686.3391921988
Cytoplasm_AreaShape_Zernike_8_8	1	1679	4.17362270450751e-05	0.8	351158.878735549
Cytoplasm_AreaShape_Zernike_9_1	1	1679	4.17362270450751e-05	0.8	9518.91995348216
Cytoplasm_AreaShape_Zernike_9_3	1	1679	4.17362270450751e-05	0.8	26480.6896156753
Cytoplasm_AreaShape_Zernike_9_5	1	1679	4.17362270450751e-05	0.8	7794.3212814271
Cytoplasm_AreaShape_Zernike_9_7	1	1679	4.17362270450751e-05	0.8	227836.277740853
Cytoplasm_AreaShape_Zernike_9_9	1	1679	4.17362270450751e-05	0.8	21946.9503843849
